# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
1.388978	-0.431070	0.000804	0.209805	0.007949
1.393788	-0.427971	0.000806	0.206750	0.007325
1.398597	-0.426434	0.000821	0.201930	0.006837
1.403407	-0.423393	0.000796	0.200347	0.007169
1.408216	-0.420426	0.000816	0.197121	0.007447
1.413026	-0.421574	0.000748	0.204548	0.007037
1.417836	-0.419644	0.000712	0.200226	0.006902
1.422645	-0.412805	0.000721	0.191237	0.006584
1.427455	-0.413883	0.000705	0.198491	0.006297
1.432265	-0.414910	0.000655	0.197503	0.006941
1.437074	-0.408583	0.000649	0.182339	0.005827
1.441884	-0.411417	0.000786	0.190929	0.005984
1.446693	-0.407086	0.000768	0.191860	0.006385
1.451503	-0.402904	0.000688	0.182205	0.005642
1.456313	-0.404666	0.000720	0.186156	0.006142
1.461122	-0.399887	0.000685	0.185101	0.005959
1.465932	-0.402263	0.000686	0.184589	0.005634
1.470741	-0.397115	0.000687	0.177398	0.005379
1.475551	-0.400990	0.000687	0.180806	0.005326
1.480361	-0.398211	0.000688	0.182709	0.005573
1.485170	-0.395575	0.000694	0.177493	0.005183
1.489980	-0.390877	0.000652	0.174053	0.005271
1.494790	-0.392012	0.000669	0.176987	0.005468
1.499599	-0.386542	0.000686	0.166198	0.005132
1.504409	-0.389520	0.000635	0.177384	0.004888
1.509218	-0.382785	0.000697	0.171344	0.005054
1.514028	-0.381627	0.000664	0.170369	0.004703
1.518838	-0.387032	0.000538	0.177083	0.005542
1.523647	-0.375504	0.000661	0.168996	0.004735
1.528457	-0.377667	0.000581	0.162210	0.004726
1.533267	-0.378740	0.000551	0.162617	0.004325
1.538076	-0.375200	0.000571	0.162526	0.004477
1.542886	-0.373364	0.000597	0.160566	0.004129
1.547695	-0.372242	0.000613	0.162680	0.004429
1.552505	-0.370730	0.000546	0.157846	0.004394
1.557315	-0.374193	0.000650	0.162374	0.004338
1.562124	-0.372213	0.000557	0.161763	0.004427
1.566934	-0.368465	0.000574	0.161007	0.004543
1.571743	-0.367377	0.000616	0.158378	0.003952
1.576553	-0.365145	0.000568	0.162998	0.004321
1.581363	-0.362337	0.000541	0.152707	0.003854
1.586172	-0.360359	0.000560	0.159865	0.003985
1.590982	-0.358000	0.000553	0.153388	0.003886
1.595792	-0.359374	0.000584	0.153731	0.003696
1.600601	-0.356683	0.000530	0.154737	0.003993
1.605411	-0.356954	0.000520	0.153006	0.003623
1.610220	-0.355723	0.000608	0.156103	0.003846
1.615030	-0.353106	0.000619	0.150895	0.003797
1.619840	-0.353548	0.000528	0.150530	0.003640
1.624649	-0.350347	0.000534	0.148097	0.003685
1.629459	-0.350662	0.000485	0.146951	0.003544
1.634269	-0.347855	0.000512	0.147900	0.003527
1.639078	-0.348233	0.000491	0.147174	0.003303
1.643888	-0.346777	0.000477	0.143306	0.003163
1.648697	-0.345183	0.000496	0.145565	0.003347
1.653507	-0.345734	0.000507	0.143254	0.003041
1.658317	-0.341770	0.000445	0.139770	0.003200
1.663126	-0.339696	0.000521	0.145150	0.003106
1.667936	-0.341591	0.000501	0.142879	0.003313
1.672745	-0.339370	0.000475	0.144429	0.003297
1.677555	-0.333981	0.000518	0.139260	0.002966
1.682365	-0.338109	0.000483	0.143183	0.003105
1.687174	-0.336500	0.000516	0.140610	0.003025
1.691984	-0.335493	0.000461	0.138297	0.002777
1.696794	-0.330268	0.000452	0.137460	0.002822
1.701603	-0.330498	0.000470	0.139212	0.002986
1.706413	-0.329163	0.000472	0.135019	0.002855
1.711222	-0.333380	0.000478	0.142254	0.003178
1.716032	-0.326220	0.000466	0.131297	0.002833
1.720842	-0.325355	0.000424	0.133887	0.002609
1.725651	-0.328744	0.000499	0.138115	0.003083
1.730461	-0.326067	0.000483	0.134534	0.002962
1.735271	-0.321952	0.000436	0.133053	0.002500
1.740080	-0.323479	0.000427	0.138709	0.002699
1.744890	-0.322629	0.000437	0.132447	0.002505
1.749699	-0.322480	0.000456	0.132714	0.002611
1.754509	-0.321399	0.000431	0.132588	0.002534
1.759319	-0.318725	0.000441	0.133593	0.002618
1.764128	-0.316024	0.000447	0.133270	0.002714
1.768938	-0.315486	0.000421	0.132095	0.002648
1.773747	-0.312711	0.000456	0.127342	0.002513
1.778557	-0.315108	0.000375	0.129685	0.002532
1.783367	-0.310644	0.000427	0.129594	0.002530
1.788176	-0.309036	0.000393	0.126155	0.002265
1.792986	-0.312666	0.000443	0.127449	0.002590
1.797796	-0.309852	0.000407	0.126500	0.002395
1.802605	-0.309484	0.000427	0.129446	0.002352
1.807415	-0.308700	0.000379	0.130169	0.002431
1.812224	-0.305102	0.000441	0.124391	0.002190
1.817034	-0.304792	0.000399	0.127600	0.002260
1.821844	-0.306827	0.000406	0.124611	0.002267
1.826653	-0.305076	0.000381	0.129285	0.002419
1.831463	-0.305606	0.000389	0.131215	0.002495
1.836273	-0.302403	0.000393	0.124183	0.002314
1.841082	-0.303085	0.000365	0.119857	0.002223
1.845892	-0.301101	0.000394	0.125162	0.002164
1.850701	-0.301032	0.000396	0.124965	0.002219
1.855511	-0.297300	0.000402	0.124151	0.002162
1.860321	-0.302061	0.000350	0.123854	0.002134
1.865130	-0.296338	0.000390	0.121246	0.001964
1.869940	-0.289741	0.000396	0.118933	0.002075
1.874749	-0.295869	0.000367	0.120559	0.002132
1.879559	-0.294139	0.000357	0.122377	0.002260
1.884369	-0.292829	0.000358	0.123593	0.002280
1.889178	-0.292563	0.000350	0.116702	0.001903
1.893988	-0.290502	0.000374	0.119430	0.001911
1.898798	-0.292008	0.000368	0.118068	0.002147
1.903607	-0.290272	0.000340	0.121712	0.002001
1.908417	-0.288315	0.000320	0.120909	0.001880
1.913226	-0.288266	0.000343	0.117425	0.001986
1.918036	-0.289260	0.000340	0.117512	0.002116
1.922846	-0.284552	0.000353	0.118560	0.001984
1.927655	-0.287134	0.000356	0.120944	0.001891
1.932465	-0.283951	0.000345	0.115535	0.001928
1.937275	-0.282118	0.000336	0.118841	0.002093
1.942084	-0.280451	0.000353	0.112880	0.001801
1.946894	-0.285381	0.000342	0.119104	0.002131
1.951703	-0.281661	0.000329	0.115679	0.001801
1.956513	-0.278887	0.000338	0.117608	0.001628
1.961323	-0.279426	0.000315	0.117465	0.001675
1.966132	-0.276398	0.000311	0.112700	0.001657
1.970942	-0.280015	0.000335	0.117123	0.001814
1.975752	-0.278898	0.000327	0.114531	0.001757
1.980561	-0.274159	0.000293	0.111739	0.001733
1.985371	-0.277808	0.000332	0.113776	0.001806
1.990180	-0.274522	0.000302	0.116163	0.001644
1.994990	-0.276804	0.000313	0.112421	0.001652
1.999800	-0.274520	0.000337	0.113622	0.001611
2.004609	-0.271346	0.000326	0.110011	0.001663
2.009419	-0.270773	0.000314	0.111078	0.001740
2.014228	-0.268056	0.000277	0.111430	0.001547
2.019038	-0.270916	0.000308	0.110568	0.001572
2.023848	-0.269586	0.000288	0.114275	0.001839
2.028657	-0.269285	0.000304	0.112619	0.001635
2.033467	-0.267779	0.000289	0.113840	0.001728
2.038277	-0.269277	0.000301	0.109918	0.001615
2.043086	-0.267341	0.000300	0.112481	0.001749
2.047896	-0.265916	0.000301	0.108956	0.001655
2.052705	-0.263715	0.000287	0.109053	0.001535
2.057515	-0.266331	0.000297	0.109704	0.001562
2.062325	-0.263963	0.000290	0.111896	0.001676
2.067134	-0.262500	0.000273	0.106130	0.001518
2.071944	-0.260444	0.000340	0.110010	0.001480
2.076754	-0.259512	0.000267	0.106778	0.001501
2.081563	-0.262677	0.000277	0.109399	0.001615
2.086373	-0.260092	0.000256	0.110472	0.001655
2.091182	-0.256927	0.000288	0.108528	0.001554
2.095992	-0.261116	0.000287	0.108600	0.001500
2.100802	-0.259557	0.000288	0.113795	0.001569
2.105611	-0.258771	0.000271	0.108477	0.001470
2.110421	-0.258251	0.000266	0.107495	0.001431
2.115230	-0.255334	0.000264	0.106881	0.001338
2.120040	-0.257851	0.000263	0.106023	0.001387
2.124850	-0.253751	0.000264	0.105691	0.001474
2.129659	-0.254488	0.000281	0.106188	0.001340
2.134469	-0.254288	0.000275	0.105130	0.001474
2.139279	-0.255247	0.000269	0.107171	0.001457
2.144088	-0.251134	0.000269	0.107655	0.001497
2.148898	-0.252162	0.000246	0.105781	0.001309
2.153707	-0.249640	0.000261	0.105885	0.001348
2.158517	-0.249946	0.000261	0.105569	0.001397
2.163327	-0.249801	0.000249	0.104436	0.001354
2.168136	-0.246645	0.000270	0.105204	0.001351
2.172946	-0.249825	0.000234	0.103180	0.001294
2.177756	-0.249254	0.000286	0.102260	0.001281
2.182565	-0.250143	0.000248	0.104011	0.001328
