T_BKT,ordered_probability,amorphous_probability
1.0045276268804424,4e-06,0.999996
1.0045276268804424,0.000262,0.999738
1.0045276268804424,3e-06,0.999998
1.0045276268804424,0.425714,0.574286
1.0045276268804424,0.004734,0.995266
1.0045276268804424,0.000683,0.999317
1.0045276268804424,0.953228,0.046772
1.0045276268804424,0.011095,0.988905
1.0045276268804424,7e-06,0.999993
1.0045276268804424,0.000905,0.999095
1.0045276268804424,3e-06,0.999997
1.0045276268804424,0.00059,0.99941
1.0045276268804424,0.000568,0.999432
1.0045276268804424,0.000441,0.999559
1.0045276268804424,0.000528,0.999473
1.0045276268804424,1e-06,1.0
1.0045276268804424,0.128404,0.871596
1.0045276268804424,0.049595,0.950405
1.0045276268804424,0.00329,0.99671
1.0045276268804424,0.029352,0.970648
1.0045276268804424,0.001175,0.998825
1.0045276268804424,0.0065,0.9935
1.0045276268804424,0.285228,0.714772
1.0045276268804424,3.4e-05,0.999966
1.0045276268804424,0.004109,0.995891
1.0045276268804424,0.0,1.0
1.0045276268804424,0.481765,0.518235
1.0045276268804424,2.3e-05,0.999976
1.0045276268804424,0.002597,0.997403
1.0045276268804424,0.992876,0.007124
1.0045276268804424,0.003026,0.996974
1.0045276268804424,0.264772,0.735228
1.0045276268804424,0.969956,0.030044
1.0045276268804424,0.00497,0.99503
1.0045276268804424,1.4e-05,0.999986
1.0045276268804424,0.000207,0.999793
1.0045276268804424,0.000375,0.999625
1.0045276268804424,0.086146,0.913854
1.0045276268804424,7.8e-05,0.999922
1.0045276268804424,0.175828,0.824172
1.0045276268804424,0.061875,0.938124
1.0045276268804424,0.000179,0.999821
1.0045276268804424,0.005868,0.994132
1.0045276268804424,0.000136,0.999864
1.0045276268804424,0.001697,0.998303
1.0045276268804424,0.044942,0.955058
1.0045276268804424,0.002144,0.997856
1.0045276268804424,0.050876,0.949124
1.0045276268804424,0.32395,0.67605
1.0045276268804424,1.1e-05,0.999989
1.0045276268804424,0.007719,0.992281
1.0045276268804424,0.006067,0.993933
1.0105276268804424,0.00042,0.99958
1.0105276268804424,0.00135,0.99865
1.0105276268804424,0.142292,0.857708
1.0105276268804424,0.083507,0.916492
1.0105276268804424,0.0003,0.9997
1.0105276268804424,0.000144,0.999856
1.0105276268804424,0.007031,0.992969
1.0105276268804424,0.000463,0.999537
1.0105276268804424,3e-05,0.99997
1.0105276268804424,6.2e-05,0.999938
1.0105276268804424,0.072915,0.927086
1.0105276268804424,0.005728,0.994272
1.0105276268804424,0.002165,0.997835
1.0105276268804424,0.016793,0.983207
1.0105276268804424,0.007043,0.992958
1.0105276268804424,0.025863,0.974137
1.0105276268804424,3e-06,0.999997
1.0105276268804424,0.230854,0.769146
1.0105276268804424,0.580521,0.419479
1.0105276268804424,0.000193,0.999807
1.0105276268804424,0.000221,0.999779
1.0105276268804424,0.00902,0.99098
1.0105276268804424,0.365656,0.634344
1.0105276268804424,0.005702,0.994298
1.0105276268804424,0.053787,0.946213
1.0105276268804424,0.555578,0.444422
1.0105276268804424,0.010341,0.989659
1.0105276268804424,0.021738,0.978262
1.0105276268804424,0.000341,0.999659
1.0105276268804424,1.9e-05,0.999981
1.0105276268804424,0.018945,0.981055
1.0105276268804424,0.020098,0.979902
1.0105276268804424,1.9e-05,0.999981
1.0105276268804424,0.003211,0.996789
1.0105276268804424,4.7e-05,0.999953
1.0105276268804424,0.005234,0.994766
1.0105276268804424,2.1e-05,0.999979
1.0105276268804424,0.006828,0.993172
1.0105276268804424,0.11163,0.88837
1.0105276268804424,0.005169,0.994831
1.0105276268804424,0.342207,0.657793
1.0105276268804424,0.010539,0.989461
1.0105276268804424,3e-06,0.999997
1.0105276268804424,0.993211,0.006789
1.0105276268804424,6e-06,0.999994
1.0105276268804424,0.000763,0.999237
1.0105276268804424,1e-06,0.999999
1.0105276268804424,0.005531,0.994469
1.0105276268804424,0.00012,0.99988
1.0105276268804424,0.000208,0.999792
1.0105276268804424,0.000326,0.999674
1.0105276268804424,2e-06,0.999998
1.0105276268804424,4.6e-05,0.999954
1.0105276268804424,0.000904,0.999096
1.0105276268804424,0.056115,0.943885
1.0105276268804424,0.044988,0.955012
1.0105276268804424,3e-06,0.999997
1.0105276268804424,0.004334,0.995666
1.0105276268804424,0.023611,0.976388
1.0105276268804424,0.119103,0.880897
1.0105276268804424,0.000359,0.999641
1.0105276268804424,0.517049,0.482951
1.0105276268804424,0.358946,0.641054
1.0105276268804424,0.997197,0.002803
1.0105276268804424,0.522126,0.477874
1.0105276268804424,0.01051,0.98949
1.0105276268804424,0.382159,0.617841
1.0105276268804424,0.002599,0.997401
1.0105276268804424,0.000504,0.999496
1.0105276268804424,0.000452,0.999548
1.0105276268804424,0.492323,0.507678
1.0105276268804424,1.8e-05,0.999982
1.0105276268804424,0.0657,0.9343
1.0105276268804424,0.003806,0.996194
1.0105276268804424,0.182172,0.817828
1.0105276268804424,0.080297,0.919703
1.0105276268804424,0.131518,0.868482
1.0105276268804424,0.2912,0.7088
1.0105276268804424,7e-06,0.999993
1.0105276268804424,0.022977,0.977022
1.0105276268804424,1e-06,0.999999
1.0105276268804424,0.006366,0.993634
1.0105276268804424,5e-06,0.999995
1.0105276268804424,0.000296,0.999704
1.0105276268804424,0.004689,0.995311
1.0105276268804424,2.5e-05,0.999975
1.0105276268804424,0.000178,0.999822
1.0105276268804424,0.000331,0.999669
1.0105276268804424,0.007398,0.992602
1.0105276268804424,0.37945,0.62055
1.0105276268804424,1e-06,0.999999
1.0105276268804424,0.000696,0.999304
1.0105276268804424,0.659153,0.340847
1.0105276268804424,0.063254,0.936746
1.0105276268804424,0.001357,0.998643
1.0105276268804424,0.967181,0.032819
1.0105276268804424,0.440088,0.559912
1.0105276268804424,0.000128,0.999872
1.0105276268804424,0.000134,0.999866
1.0105276268804424,0.000187,0.999813
1.0165276268804424,0.605227,0.394773
1.0165276268804424,0.006514,0.993486
1.0165276268804424,1.9e-05,0.999981
1.0165276268804424,1e-06,0.999999
1.0165276268804424,0.000179,0.999821
1.0165276268804424,0.005983,0.994017
1.0165276268804424,0.385715,0.614285
1.0165276268804424,0.001199,0.998801
1.0165276268804424,0.973521,0.026479
1.0165276268804424,0.002852,0.997148
1.0165276268804424,0.000494,0.999506
1.0165276268804424,0.00542,0.99458
1.0165276268804424,0.603853,0.396147
1.0165276268804424,0.000303,0.999697
1.0165276268804424,0.000934,0.999066
1.0165276268804424,2e-06,0.999998
1.0165276268804424,4.7e-05,0.999953
1.0165276268804424,0.019286,0.980714
1.0165276268804424,0.007145,0.992855
1.0165276268804424,0.000926,0.999074
1.0165276268804424,0.140226,0.859774
1.0165276268804424,0.001049,0.998951
1.0165276268804424,0.000175,0.999825
1.0165276268804424,0.000141,0.999859
1.0165276268804424,0.050913,0.949087
1.0165276268804424,0.546875,0.453125
1.0165276268804424,0.0,1.0
1.0165276268804424,2.8e-05,0.999972
1.0165276268804424,1.1e-05,0.999989
1.0165276268804424,0.01743,0.98257
1.0165276268804424,0.726458,0.273542
1.0165276268804424,0.016264,0.983736
1.0165276268804424,0.000508,0.999492
1.0165276268804424,5e-06,0.999995
1.0165276268804424,9.8e-05,0.999902
1.0165276268804424,1e-06,0.999999
1.0165276268804424,0.010967,0.989033
1.0165276268804424,1.4e-05,0.999985
1.0165276268804424,0.007503,0.992497
1.0165276268804424,0.00408,0.995919
1.0165276268804424,0.040539,0.95946
1.0165276268804424,0.023028,0.976972
1.0165276268804424,1e-06,0.999999
1.0165276268804424,0.000311,0.999689
1.0165276268804424,0.056446,0.943554
1.0165276268804424,0.0,1.0
1.0165276268804424,0.000691,0.999309
1.0165276268804424,0.024595,0.975405
1.0165276268804424,0.005523,0.994476
1.0165276268804424,0.036782,0.963218
1.0165276268804424,0.829957,0.170043
1.0165276268804424,3.4e-05,0.999966
1.0165276268804424,0.000428,0.999572
1.0165276268804424,0.004235,0.995765
1.0165276268804424,0.093254,0.906746
1.0165276268804424,0.201327,0.798673
1.0165276268804424,0.284823,0.715177
1.0165276268804424,2.2e-05,0.999978
1.0165276268804424,0.000828,0.999172
1.0165276268804424,5.4e-05,0.999946
1.0165276268804424,0.000391,0.999609
1.0165276268804424,0.703657,0.296343
1.0165276268804424,0.33684,0.66316
1.0165276268804424,2e-06,0.999998
1.0165276268804424,0.000373,0.999627
1.0165276268804424,0.000612,0.999388
1.0165276268804424,0.000232,0.999768
1.0165276268804424,0.001363,0.998637
1.0165276268804424,1e-05,0.99999
1.0165276268804424,0.019201,0.980799
1.0165276268804424,0.007712,0.992288
1.0165276268804424,2e-06,0.999998
1.0165276268804424,0.001346,0.998654
1.0165276268804424,0.000177,0.999823
1.0165276268804424,0.808059,0.191941
1.0165276268804424,0.0086,0.9914
1.0165276268804424,1.5e-05,0.999985
1.0165276268804424,0.000593,0.999407
1.0165276268804424,3.7e-05,0.999963
1.0165276268804424,0.985937,0.014063
1.0165276268804424,0.004316,0.995684
1.0165276268804424,0.495811,0.504189
1.0165276268804424,0.000833,0.999167
1.0165276268804424,1.5e-05,0.999985
1.0165276268804424,0.005096,0.994904
1.0165276268804424,0.000288,0.999712
1.0165276268804424,0.001734,0.998266
1.0165276268804424,0.00048,0.99952
1.0165276268804424,0.089483,0.910517
1.0165276268804424,3.6e-05,0.999964
1.0165276268804424,0.000145,0.999855
1.0165276268804424,0.056787,0.943213
1.0165276268804424,0.006938,0.993062
1.0165276268804424,2.3e-05,0.999977
1.0165276268804424,0.00639,0.99361
1.0165276268804424,0.016437,0.983563
1.0165276268804424,2e-05,0.99998
1.0165276268804424,0.63856,0.36144
1.0165276268804424,0.35974,0.64026
1.0165276268804424,0.014026,0.985974
1.0235276268804423,1.2e-05,0.999988
1.0235276268804423,0.001245,0.998755
1.0235276268804423,0.21953,0.78047
1.0235276268804423,0.000136,0.999864
1.0235276268804423,3e-06,0.999997
1.0235276268804423,0.07901,0.92099
1.0235276268804423,0.001699,0.998301
1.0235276268804423,0.370095,0.629905
1.0235276268804423,0.000146,0.999854
1.0235276268804423,0.001983,0.998016
1.0235276268804423,0.000984,0.999016
1.0235276268804423,0.001306,0.998694
1.0235276268804423,1e-06,0.999999
1.0235276268804423,0.000913,0.999087
1.0235276268804423,0.001066,0.998934
1.0235276268804423,0.824299,0.175701
1.0235276268804423,0.909655,0.090345
1.0235276268804423,2e-05,0.99998
1.0235276268804423,0.007332,0.992668
1.0235276268804423,0.000133,0.999867
1.0235276268804423,0.003736,0.996264
1.0235276268804423,0.003765,0.996235
1.0235276268804423,0.013047,0.986953
1.0235276268804423,0.108868,0.891132
1.0235276268804423,0.008477,0.991523
1.0235276268804423,0.206482,0.793518
1.0235276268804423,0.017777,0.982223
1.0235276268804423,0.000951,0.999049
1.0235276268804423,0.005739,0.994261
1.0235276268804423,5.7e-05,0.999943
1.0235276268804423,0.000202,0.999798
1.0235276268804423,0.000126,0.999874
1.0235276268804423,0.017813,0.982188
1.0235276268804423,0.000673,0.999327
1.0235276268804423,0.023592,0.976408
1.0235276268804423,0.138777,0.861223
1.0235276268804423,0.000105,0.999895
1.0235276268804423,4.2e-05,0.999958
1.0235276268804423,4e-06,0.999996
1.0235276268804423,0.978263,0.021737
1.0235276268804423,3e-06,0.999997
1.0235276268804423,0.002048,0.997952
1.0235276268804423,5.7e-05,0.999943
1.0235276268804423,0.026121,0.973879
1.0235276268804423,0.000369,0.999631
1.0235276268804423,0.006841,0.993159
1.0235276268804423,2e-05,0.99998
1.0235276268804423,2e-06,0.999998
1.0235276268804423,0.631298,0.368702
1.0235276268804423,0.944327,0.055673
1.0235276268804423,0.000488,0.999512
1.0235276268804423,6.7e-05,0.999933
1.0235276268804423,1e-05,0.99999
1.0235276268804423,3.4e-05,0.999966
