L,T,ordered_mean,ordered_std,amorphous_mean,amorphous_std
64,0.883000,0.992161,0.001633,0.007790,0.001612
64,0.893000,0.991361,0.001336,0.008652,0.001337
64,0.903000,0.987120,0.002271,0.013003,0.002420
64,0.914000,0.964886,0.007309,0.035489,0.007190
64,0.924000,0.976834,0.003926,0.023275,0.003871
64,0.934000,0.935854,0.008991,0.064368,0.009075
64,0.944000,0.941065,0.009168,0.059070,0.008726
64,0.954000,0.870928,0.015030,0.129484,0.015504
64,0.964000,0.838653,0.015023,0.162638,0.014954
64,0.975000,0.727742,0.024140,0.272411,0.023950
64,0.985000,0.727507,0.023939,0.271856,0.024189
64,0.995000,0.658745,0.026176,0.343253,0.027076
64,1.005000,0.499480,0.030517,0.503346,0.030440
64,1.015000,0.395992,0.026040,0.601584,0.027021
64,1.025000,0.368030,0.026806,0.632714,0.025565
64,1.036000,0.206414,0.018858,0.795074,0.019318
64,1.046000,0.187212,0.021951,0.813260,0.021067
64,1.056000,0.101728,0.012288,0.897626,0.012259
64,1.066000,0.109203,0.017601,0.890367,0.017144
64,1.076000,0.046789,0.005772,0.953287,0.005745
64,1.086000,0.031673,0.004536,0.968260,0.004414
64,1.097000,0.017997,0.003204,0.982083,0.003173
64,1.107000,0.013141,0.001855,0.986896,0.001953
64,1.117000,0.004286,0.000446,0.995710,0.000459
64,1.127000,0.004510,0.000472,0.995477,0.000460
64,1.137000,0.002307,0.000182,0.997690,0.000183
64,1.147000,0.002866,0.000279,0.997147,0.000263
64,1.158000,0.001430,0.000123,0.998571,0.000119
64,1.168000,0.001183,0.000085,0.998819,0.000082
64,1.178000,0.001101,0.000085,0.998898,0.000084
64,1.188000,0.000890,0.000051,0.999111,0.000049
64,1.198000,0.000584,0.000029,0.999416,0.000029
64,1.208000,0.000673,0.000054,0.999330,0.000053
64,1.219000,0.000540,0.000030,0.999462,0.000030
64,1.229000,0.000422,0.000022,0.999577,0.000023
64,1.239000,0.000361,0.000017,0.999640,0.000016
64,1.249000,0.000376,0.000014,0.999625,0.000014
64,1.259000,0.000292,0.000011,0.999708,0.000010
64,1.269000,0.000333,0.000012,0.999668,0.000012
64,1.280000,0.000275,0.000012,0.999725,0.000012
64,1.290000,0.000254,0.000009,0.999746,0.000010
64,1.300000,0.000244,0.000008,0.999756,0.000008
128,0.670000,0.978584,0.008101,0.021456,0.008079
128,0.680000,0.987806,0.004201,0.012411,0.004176
128,0.690000,0.965240,0.010161,0.034431,0.009945
128,0.701000,0.945752,0.012643,0.053977,0.013265
128,0.711000,0.938498,0.014633,0.061426,0.014385
128,0.721000,0.934590,0.015490,0.066147,0.015236
128,0.731000,0.928099,0.016423,0.071855,0.016568
128,0.741000,0.965287,0.010683,0.034806,0.010108
128,0.751000,0.959059,0.012702,0.041204,0.012737
128,0.762000,0.946367,0.012209,0.052921,0.011479
128,0.772000,0.951158,0.013783,0.048029,0.014160
128,0.782000,0.934131,0.015279,0.065629,0.016538
128,0.792000,0.956260,0.011771,0.043111,0.011383
128,0.802000,0.937699,0.015727,0.063332,0.015436
128,0.812000,0.943494,0.013532,0.056747,0.013084
128,0.823000,0.910638,0.018185,0.089241,0.017577
128,0.833000,0.921767,0.017308,0.077044,0.017098
128,0.843000,0.910389,0.018117,0.087734,0.017633
128,0.853000,0.879744,0.022371,0.120175,0.022337
128,0.863000,0.900039,0.019436,0.098893,0.019711
128,0.873000,0.879069,0.023183,0.120182,0.021820
128,0.884000,0.873611,0.022750,0.126421,0.022160
128,0.894000,0.841582,0.024693,0.157443,0.024749
128,0.904000,0.819634,0.026581,0.181422,0.025912
128,0.914000,0.824001,0.025173,0.175780,0.024789
128,0.924000,0.808472,0.025841,0.193081,0.025350
128,0.934000,0.749693,0.028308,0.249736,0.028434
128,0.945000,0.738443,0.026927,0.262332,0.027676
128,0.955000,0.719200,0.027006,0.280755,0.026273
128,0.965000,0.588480,0.030959,0.412757,0.031434
128,0.975000,0.490730,0.028029,0.510320,0.028619
128,0.985000,0.343580,0.025993,0.656068,0.024886
128,0.995000,0.203735,0.020198,0.794429,0.020658
128,1.006000,0.114151,0.014120,0.885674,0.014475
128,1.016000,0.063435,0.009647,0.937022,0.009262
128,1.026000,0.018251,0.002059,0.981591,0.001927
128,1.036000,0.010729,0.001189,0.989266,0.001296
128,1.046000,0.005825,0.000661,0.994168,0.000661
128,1.056000,0.003767,0.000305,0.996259,0.000287
128,1.067000,0.003039,0.000243,0.996961,0.000242
128,1.077000,0.002139,0.000140,0.997849,0.000141
128,1.087000,0.001456,0.000056,0.998543,0.000058
128,1.097000,0.001209,0.000041,0.998792,0.000041
128,1.107000,0.001086,0.000034,0.998912,0.000034
128,1.117000,0.000904,0.000025,0.999095,0.000025
128,1.128000,0.000741,0.000019,0.999258,0.000019
128,1.138000,0.000685,0.000021,0.999316,0.000021
128,1.148000,0.000608,0.000012,0.999392,0.000013
128,1.158000,0.000537,0.000010,0.999463,0.000010
128,1.168000,0.000483,0.000009,0.999516,0.000009
128,1.178000,0.000471,0.000009,0.999528,0.000009
128,1.189000,0.000418,0.000006,0.999583,0.000006
128,1.199000,0.000403,0.000007,0.999597,0.000007
128,1.209000,0.000378,0.000006,0.999622,0.000005
128,1.219000,0.000354,0.000005,0.999646,0.000006
128,1.229000,0.000345,0.000004,0.999655,0.000005
128,1.239000,0.000330,0.000005,0.999670,0.000004
128,1.250000,0.000320,0.000004,0.999680,0.000004
128,1.260000,0.000315,0.000005,0.999685,0.000005
128,1.270000,0.000302,0.000004,0.999697,0.000004
256,0.650000,0.948812,0.004913,0.050992,0.004887
256,0.660000,0.940236,0.004970,0.059576,0.005305
256,0.670000,0.939105,0.005246,0.060917,0.005435
256,0.681000,0.932085,0.006183,0.067787,0.006567
256,0.691000,0.930994,0.006274,0.068911,0.006405
256,0.701000,0.929931,0.006468,0.070352,0.006747
256,0.711000,0.917410,0.007253,0.081912,0.007531
256,0.721000,0.908972,0.007730,0.090937,0.007665
256,0.731000,0.904627,0.008610,0.095158,0.008159
256,0.742000,0.901815,0.008834,0.098380,0.008834
256,0.752000,0.893907,0.009200,0.105761,0.008885
256,0.762000,0.885659,0.010300,0.114188,0.010081
256,0.772000,0.863580,0.011564,0.136640,0.011506
256,0.782000,0.882769,0.009709,0.116903,0.009964
256,0.792000,0.867455,0.011297,0.132689,0.011358
256,0.803000,0.858212,0.011747,0.141445,0.011898
256,0.813000,0.880227,0.010631,0.119286,0.010503
256,0.823000,0.832159,0.011950,0.167481,0.012093
256,0.833000,0.851316,0.013145,0.148693,0.013576
256,0.843000,0.818513,0.013100,0.181296,0.012849
256,0.853000,0.792067,0.014966,0.208415,0.015265
256,0.864000,0.783077,0.017634,0.217480,0.016145
256,0.874000,0.721256,0.018309,0.280568,0.017051
256,0.884000,0.740944,0.017569,0.258555,0.017716
256,0.894000,0.727863,0.015954,0.271281,0.016906
256,0.904000,0.694103,0.018713,0.305177,0.018895
256,0.914000,0.690880,0.019265,0.310330,0.019501
256,0.925000,0.666006,0.021161,0.335770,0.020876
256,0.935000,0.656102,0.021049,0.343003,0.021319
256,0.945000,0.600013,0.021705,0.399986,0.020970
256,0.955000,0.535502,0.023574,0.464345,0.022727
256,0.965000,0.544843,0.022749,0.456162,0.022478
256,0.975000,0.471566,0.020819,0.528294,0.020792
256,0.986000,0.398404,0.018764,0.602534,0.017774
256,0.996000,0.377053,0.016791,0.623856,0.016874
256,1.006000,0.321342,0.013458,0.678738,0.013826
256,1.016000,0.268612,0.012387,0.731394,0.012777
256,1.026000,0.208848,0.010213,0.791867,0.010648
256,1.036000,0.165943,0.006618,0.833738,0.006841
256,1.047000,0.125052,0.006181,0.875500,0.006277
256,1.057000,0.098958,0.004853,0.900914,0.004710
256,1.067000,0.085352,0.003706,0.914759,0.003625
256,1.077000,0.065212,0.003318,0.935018,0.003181
256,1.087000,0.051401,0.002391,0.948756,0.002259
256,1.097000,0.040642,0.001946,0.959262,0.001907
256,1.108000,0.034930,0.001582,0.965003,0.001570
256,1.118000,0.026019,0.001045,0.974038,0.000997
256,1.128000,0.023596,0.000976,0.976470,0.000938
256,1.138000,0.019353,0.000783,0.980648,0.000796
256,1.148000,0.016104,0.000663,0.983861,0.000657
256,1.158000,0.013549,0.000541,0.986463,0.000538
256,1.169000,0.012488,0.000540,0.987525,0.000528
256,1.179000,0.010892,0.000414,0.989140,0.000408
256,1.189000,0.010001,0.000408,0.989985,0.000412
256,1.199000,0.008039,0.000241,0.991953,0.000252
256,1.209000,0.007430,0.000292,0.992582,0.000280
256,1.219000,0.007048,0.000220,0.992952,0.000226
256,1.230000,0.006298,0.000215,0.993703,0.000217
256,1.240000,0.005617,0.000171,0.994373,0.000174
256,1.250000,0.005255,0.000207,0.994740,0.000203
