# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.888778	-0.723693	0.000264	0.658804	0.002856
0.893587	-0.721094	0.000234	0.658080	0.002409
0.898397	-0.718488	0.000263	0.649564	0.003380
0.903206	-0.716965	0.000250	0.647840	0.003250
0.908016	-0.714060	0.000248	0.645782	0.002726
0.912826	-0.713053	0.000276	0.638004	0.003714
0.917635	-0.709301	0.000260	0.632286	0.003930
0.922445	-0.706645	0.000262	0.632088	0.003412
0.927255	-0.702994	0.000292	0.624936	0.004395
0.932064	-0.702176	0.000278	0.623011	0.003820
0.936874	-0.697915	0.000279	0.613204	0.004623
0.941683	-0.697714	0.000253	0.616364	0.003991
0.946493	-0.692982	0.000262	0.603262	0.005126
0.951303	-0.690484	0.000298	0.601978	0.004680
0.956112	-0.687109	0.000302	0.595303	0.005012
0.960922	-0.685511	0.000283	0.596401	0.004815
0.965731	-0.682792	0.000257	0.586752	0.005642
0.970541	-0.680518	0.000289	0.582292	0.005779
0.975351	-0.675259	0.000273	0.565018	0.006886
0.980160	-0.673289	0.000327	0.558214	0.007405
0.984970	-0.670950	0.000321	0.551543	0.007960
0.989780	-0.667706	0.000321	0.546411	0.008600
0.994589	-0.663644	0.000318	0.541141	0.008930
0.999399	-0.662323	0.000340	0.531583	0.008258
1.004208	-0.655924	0.000345	0.511382	0.010977
1.009018	-0.653745	0.000359	0.514782	0.010034
1.013828	-0.649190	0.000392	0.493585	0.012977
1.018637	-0.647933	0.000392	0.490545	0.011942
1.023447	-0.642143	0.000374	0.472622	0.013737
1.028257	-0.639968	0.000344	0.465460	0.013376
1.033066	-0.636813	0.000369	0.458451	0.013704
1.037876	-0.630831	0.000375	0.438423	0.013677
1.042685	-0.627548	0.000390	0.429138	0.015436
1.047495	-0.625890	0.000359	0.422235	0.014258
1.052305	-0.621085	0.000366	0.401521	0.015213
1.057114	-0.616350	0.000386	0.384122	0.016288
1.061924	-0.614696	0.000348	0.384126	0.015832
1.066733	-0.608963	0.000382	0.368539	0.014799
1.071543	-0.606554	0.000406	0.363821	0.015508
1.076353	-0.602373	0.000383	0.346828	0.015498
1.081162	-0.598415	0.000379	0.342698	0.015429
1.085972	-0.592205	0.000351	0.320792	0.014205
1.090782	-0.591868	0.000344	0.308141	0.014755
1.095591	-0.589133	0.000369	0.308399	0.014271
1.100401	-0.587350	0.000342	0.301674	0.013429
1.105210	-0.583432	0.000357	0.283423	0.013477
1.110020	-0.577610	0.000375	0.273331	0.013303
1.114830	-0.575354	0.000371	0.272830	0.011992
1.119639	-0.571561	0.000329	0.255901	0.012107
1.124449	-0.568340	0.000360	0.260913	0.011729
1.129259	-0.565314	0.000334	0.246817	0.011516
1.134068	-0.561834	0.000315	0.241934	0.010927
1.138878	-0.558819	0.000341	0.238800	0.011035
1.143687	-0.556961	0.000337	0.230606	0.009463
1.148497	-0.551293	0.000340	0.219730	0.009614
1.153307	-0.549404	0.000359	0.220248	0.009358
1.158116	-0.547162	0.000305	0.215559	0.008626
1.162926	-0.543465	0.000317	0.205298	0.008528
1.167735	-0.539635	0.000318	0.203354	0.007931
1.172545	-0.537958	0.000289	0.200546	0.008158
1.177355	-0.535911	0.000278	0.197835	0.007543
1.182164	-0.530673	0.000280	0.186690	0.006903
1.186974	-0.529957	0.000273	0.188853	0.007162
1.191784	-0.525085	0.000295	0.176929	0.006701
1.196593	-0.522897	0.000271	0.177296	0.006082
1.201403	-0.519092	0.000280	0.172235	0.006335
1.206212	-0.518749	0.000273	0.178642	0.006073
1.211022	-0.515555	0.000262	0.167869	0.005666
1.215832	-0.513041	0.000280	0.164972	0.005699
1.220641	-0.509122	0.000291	0.161954	0.005444
1.225451	-0.506284	0.000274	0.158187	0.004959
1.230261	-0.504093	0.000289	0.157482	0.004907
1.235070	-0.501699	0.000263	0.155750	0.004578
1.239880	-0.499683	0.000272	0.153831	0.004844
1.244689	-0.495962	0.000236	0.147423	0.004566
1.249499	-0.493707	0.000258	0.143163	0.004091
1.254309	-0.489801	0.000255	0.142621	0.004136
1.259118	-0.488408	0.000260	0.142592	0.004320
1.263928	-0.486227	0.000258	0.138956	0.004078
1.268737	-0.484995	0.000248	0.139754	0.003979
1.273547	-0.482391	0.000250	0.136065	0.003662
1.278357	-0.480058	0.000240	0.136811	0.003819
1.283166	-0.475233	0.000234	0.132391	0.003454
1.287976	-0.473636	0.000259	0.130457	0.003596
1.292786	-0.472396	0.000235	0.132161	0.003400
1.297595	-0.470193	0.000238	0.130068	0.003464
1.302405	-0.467689	0.000238	0.125590	0.003359
1.307214	-0.466407	0.000219	0.124565	0.003028
1.312024	-0.462203	0.000228	0.123122	0.002864
1.316834	-0.460999	0.000216	0.122158	0.002806
1.321643	-0.458844	0.000235	0.122346	0.002886
1.326453	-0.455441	0.000211	0.119504	0.002847
1.331263	-0.453596	0.000223	0.119205	0.002701
1.336072	-0.452965	0.000210	0.116935	0.002546
1.340882	-0.450003	0.000236	0.115015	0.002597
1.345691	-0.447737	0.000223	0.115133	0.002551
1.350501	-0.444971	0.000204	0.112393	0.002432
1.355311	-0.443777	0.000219	0.110450	0.002502
1.360120	-0.441698	0.000216	0.106821	0.002254
1.364930	-0.439559	0.000211	0.109900	0.002353
1.369739	-0.437878	0.000195	0.108043	0.002220
1.374549	-0.435597	0.000203	0.107677	0.002256
1.379359	-0.433463	0.000215	0.106204	0.002209
1.384168	-0.432009	0.000201	0.106958	0.002117
1.388978	-0.429754	0.000200	0.104805	0.002103
1.393788	-0.428025	0.000185	0.102618	0.001931
1.398597	-0.427240	0.000210	0.103280	0.001965
1.403407	-0.423625	0.000216	0.100760	0.001917
1.408216	-0.421640	0.000195	0.099225	0.001917
1.413026	-0.419882	0.000183	0.100254	0.001855
1.417836	-0.417822	0.000196	0.099311	0.001833
1.422645	-0.416113	0.000184	0.098862	0.001841
1.427455	-0.414729	0.000187	0.096532	0.001776
1.432265	-0.412886	0.000180	0.094908	0.001751
1.437074	-0.411459	0.000181	0.096385	0.001714
1.441884	-0.409067	0.000173	0.093673	0.001637
1.446693	-0.406904	0.000177	0.094737	0.001635
1.451503	-0.405299	0.000179	0.093776	0.001669
1.456313	-0.404373	0.000174	0.090962	0.001614
