L_16,L_32,L_64,L_128,L_256
1.137842,1.042375,1.006353,0.975445,0.971102
1.143637,1.041406,1.004502,0.973514,0.971921
1.143181,1.032279,1.004632,0.975137,0.973186
1.143639,1.033295,1.002841,0.974816,0.975211
1.145592,1.037626,1.003885,0.972798,0.971507
1.130934,1.040146,1.002979,0.977036,0.972821
1.129231,1.038350,1.004252,0.974247,0.971188
1.140535,1.041433,1.003326,0.975471,0.970614
1.141400,1.040052,1.003014,0.971630,0.970643
1.141082,1.037410,1.003965,0.972420,0.977338
1.142894,1.036992,1.001978,0.971620,0.973787
1.140668,1.038220,1.004499,0.977950,0.973365
1.146289,1.035008,1.004986,0.976026,0.973929
1.120363,1.036025,1.003131,0.975214,0.972080
1.139693,1.038966,1.003023,0.972860,0.970575
1.142692,1.040378,1.004666,0.974001,0.973883
1.143357,1.040797,1.006441,0.977458,0.972929
1.141991,1.028690,1.004285,0.972627,0.974203
1.139876,1.038329,1.004198,0.970743,0.970659
1.142170,1.039241,1.007521,0.972391,0.978273
1.144200,1.040457,1.003638,0.971636,0.970668
1.144314,1.039576,1.008907,0.975421,0.971863
1.140189,1.039768,1.002414,0.976025,0.969485
1.138270,1.037324,1.003555,0.974871,0.968086
1.140884,1.030985,1.005379,0.974111,0.971692
1.146301,1.028837,1.004540,0.974881,0.970106
1.144933,1.042531,1.002490,0.974192,0.972234
1.141822,1.038795,1.007914,0.974605,0.971277
1.141701,1.036971,1.007065,0.975230,0.975249
1.144436,1.034036,1.003185,0.974824,0.973154
1.139273,1.038701,1.003235,0.969843,0.971234
1.143272,1.041128,1.006537,0.975736,0.968238
1.142410,1.037304,1.003070,0.973827,0.975428
1.119672,1.028922,1.004429,0.975840,0.970485
1.141020,1.040287,1.004250,0.972339,0.972160
1.137603,1.040257,1.006371,0.977171,0.969954
1.142818,1.039556,1.008195,0.978495,0.972514
1.142064,1.035553,1.004919,0.968929,0.972423
1.130754,1.040565,1.004567,0.970453,0.969248
1.140412,1.039475,1.005669,0.969553,0.964126
1.144450,1.032798,1.005948,0.970135,0.972866
1.140579,1.038751,1.004380,0.974898,0.976585
1.124570,1.035000,1.003876,0.973318,0.973019
1.142669,1.036616,1.005554,0.973847,0.975332
1.140211,1.040957,1.002986,0.974736,0.969804
1.143737,1.037536,1.004670,0.974973,0.972335
1.145021,1.039966,1.002617,0.975136,0.972043
1.143732,1.041911,1.006681,0.973251,0.971898
1.139331,1.040691,1.005699,0.975763,0.971604
1.135240,1.033670,1.004597,0.969140,0.969684
1.137336,1.041859,1.000511,0.973261,0.974380
1.147410,1.040044,1.003808,0.974442,0.972852
1.140614,1.038838,1.007649,0.976869,0.970255
1.139954,1.037159,1.003983,0.969098,0.971080
1.145140,1.039042,1.002286,0.969398,0.968830
1.141839,1.037690,1.008680,0.973727,0.974958
1.140412,1.041548,1.003307,0.973082,0.969784
1.141086,1.036442,1.005416,0.972117,0.973374
1.142778,1.036274,1.005004,0.969243,0.968442
1.140731,1.041880,1.005582,0.974420,0.970564
1.143989,1.041579,1.005204,0.975527,0.972237
1.141878,1.035681,1.003236,0.973119,0.974159
1.147353,1.039696,1.004391,0.975922,0.973700
1.143778,1.039199,1.003501,0.967972,0.972361
1.141799,1.041439,1.004757,0.976707,0.970471
1.137049,1.040712,1.006726,0.975750,0.976532
1.141238,1.036484,1.006525,0.968886,0.969655
1.131385,1.040456,1.005608,0.976022,0.971370
1.143115,1.042550,1.005524,0.974258,0.971816
1.143200,1.035079,1.004616,0.972878,0.970554
1.143439,1.036949,1.007726,0.976982,0.974196
1.138730,1.041165,1.005711,0.974192,0.974755
1.145920,1.039061,1.005052,0.975099,0.973689
1.141532,1.041557,1.004138,0.972583,0.968694
1.142171,1.039235,1.006443,0.972051,0.971455
1.141219,1.038767,1.007180,0.973322,0.973382
1.148652,1.040628,1.003352,0.977088,0.971226
1.143172,1.034055,1.002834,0.973699,0.971498
1.133868,1.030765,1.003391,0.973286,0.962834
1.141622,1.038303,1.004332,0.974638,0.974136
1.142327,1.040656,1.004809,0.973070,0.975322
1.140911,1.033346,1.006176,0.972500,0.973565
1.142459,1.039022,1.004884,0.971833,0.971752
1.144728,1.040197,1.007412,0.974278,0.971205
1.140474,1.035580,1.004173,0.974083,0.967046
1.138780,1.036890,1.005031,0.972895,0.965310
1.125254,1.041171,1.004772,0.977186,0.971143
1.146488,1.032562,1.003109,0.973492,0.973750
1.142179,1.038930,1.007809,0.969767,0.966215
1.140712,1.036951,1.006473,0.966107,0.968982
1.140441,1.038391,1.004021,0.976699,0.970216
1.140794,1.038607,1.004286,0.975671,0.971443
1.142135,1.035362,1.007336,0.973798,0.972829
1.140031,1.037952,1.003162,0.972376,0.971696
1.138560,1.042449,1.004366,0.977721,0.972551
1.141159,1.040102,1.002529,0.978950,0.975330
1.142570,1.041466,1.006905,0.971542,0.968246
1.141750,1.036801,1.005818,0.972311,0.974192
1.146353,1.038324,1.004438,0.977121,0.972769
1.142890,1.040056,1.004083,0.975299,0.972252
1.141417,1.039857,1.006396,0.971652,0.975307
1.139857,1.037723,1.004906,0.977718,0.970669
1.125933,1.035758,1.003718,0.971924,0.972367
1.136570,1.038453,1.003488,0.972054,0.969561
1.139338,1.039883,1.001994,0.967485,0.970125
1.143070,1.042504,1.004990,0.974542,0.967652
1.139738,1.037499,1.004242,0.972628,0.973361
1.143173,1.039365,1.006221,0.975367,0.973440
1.143360,1.041621,1.003452,0.974735,0.968835
1.141234,1.040137,1.002792,0.979228,0.971835
1.135390,1.039966,1.004352,0.975128,0.975804
1.143766,1.040108,1.005375,0.972333,0.973673
1.144062,1.039046,1.007339,0.976442,0.969902
1.116593,1.040234,1.003894,0.972654,0.971756
1.144667,1.032352,1.003473,0.974473,0.972696
1.141224,1.035855,1.006513,0.973390,0.976684
1.138668,1.039197,1.005051,0.973915,0.956154
1.136467,1.038349,1.004707,0.973134,0.971419
1.140721,1.034072,1.003829,0.977271,0.973689
1.145802,1.039326,1.004344,0.973959,0.974023
1.141853,1.038206,1.003136,0.974993,0.971832
1.141785,1.040845,1.008316,0.976031,0.972661
1.142216,1.038513,1.002413,0.969378,0.963710
1.150199,1.037587,1.006110,0.969657,0.974871
1.142491,1.036492,1.005794,0.977660,0.971580
1.128306,1.041963,1.006288,0.967156,0.971091
1.142413,1.040879,1.006821,0.973764,0.969689
1.140128,1.041811,1.005877,0.976811,0.973046
1.143795,1.040311,1.003925,0.975284,0.974593
1.141274,1.028411,1.005356,0.976337,0.973050
1.135743,1.041229,1.007248,0.974005,0.970591
1.143636,1.036889,1.005033,0.973276,0.963337
1.146151,1.025000,1.005583,0.967908,0.971180
1.143317,1.031706,1.004130,0.976711,0.968748
1.137168,1.039137,1.005452,0.975000,0.972141
1.147018,1.034445,1.006213,0.978181,0.976979
1.141116,1.038518,1.006910,0.971915,0.973323
1.141674,1.037403,1.005203,0.972103,0.971677
